CP_ID;Product_type;Product_name;Markets;Serving_size;Energy.kcal;Proteins.g;Carbohydrates.g;Sugars.g;Add_sugars.g;Fat.g;Saturated_fat.g;Trans_fat.g;Cholesterol.mg;Fibre.g;Sodium.mg;Total_whole;Vitamin_D.mcg;Vitamin_C.mg;Vitamin_B1.mg;Vitamin_B2.mg;Vitamin_B3.mg;Vitamin_B6.mg;Vitamin_B9.mcg;Vitamin_B5.mg;Vitamin_B12.mcg;Vitamin_B8.mg;Vitamin_A.mg;Vitamin_E.mg;Calcium.mg;Iron.mg;Zinc.mg;Phosphorus.mg;Selenium.mg;Magnesium.mg;Region;volume
CP_1;BAR;NESQUIK;Nestlé Pro Italy,France,Romania,Portugal,Turkey,Poland,Spain,United Kingdom,Mexico,Hungary,Russian Fed.,Czech Republic,Baltics & Balkans & Exports,Belgium,Saudi Arabia,Ukraine,Utd.Arab Emir.,Slovakia,Kuwait,Denmark,Israel,Sweden,Bulgaria,Russia others,Kazakhstan,Russia exports (Georgia, Armenia, Belarus, Uzbekistan),Finland,Jordan,Lebanon,Qatar,Oman,Switzerland,Bahrain;25;407;7;60,7;29,5;29,5;12,9;7,4;0,27;0;4,9;195;22;5;0;0;1;12,7;1;195;5,1;0;0;0;0;1375;13,3;0;0;0;0;UKA,LATAM,EUR,AMA;2612,530594
CP_2;BAR;CHOCAPIC;France,Indonesia,Portugal,Chile,Malaysia,Thailand,Romania,Philippines,Hungary,Poland,Hong Kong,Taiwan,Czech Republic,Spain,Saudi Arabia,Vietnam,Singapore,Colombia,France,Slovakia,Kuwait,Baltics & Balkans & Exports,Nestlé Pro Italy,Utd.Arab Emir.,Bulgaria,Lebanon;25;408;7,6;57,8;28,1;28,1;13,7;8,1;0,1;0;4,6;158;19,6;0;0;0;1,12;11,1;0,96;135;4,08;0;0;0;0;1113;8,5;0;0;0;0;LATAM,EUR,AMA;2065,434111
CP_3;BAR;CINI MINIS;Germany,Poland,Russian Fed.,Hungary,Czech Republic,Romania,Ukraine,Austria,Baltics & Balkans & Exports,Slovakia,Russia exports (Georgia, Armenia, Belarus, Uzbekistan),Israel,Kazakhstan,Finland,Switzerland,Bulgaria,Denmark;25;410;6,9;61,2;27,6;27,6;13,2;7,5;0,12;0;4;288;21,5;0;0;0;1,36;13,1;1,12;200;4,71;0;0;0;0;1231;0;0;0;0;0;EUR;707,5049074
CP_4;BAR;GOLDEN GRAHAMS;France,Portugal,Germany,Spain,Germany,Israel;25;408;6,7;61,9;29,9;29,9;12,8;7,4;0,11;0;3,7;243;19,8;0;0;0;2,23;19,3;2,16;245;7,4;0;0;0;0;1259;0;0;0;0;0;EUR;443,8051712
CP_5;BAR;FITNESS Milk Chocolate;Turkey,Cyprus;23,5;372;5,9;62,9;23,7;23,7;7;4,1;0;0;9,8;336;28;0;0;0;1,33;13,9;1,29;168;5,35;0;0;0;0;664;10,4;0;0;0;0;AMA,EUR;203,4878831
CP_6;BAR;FITNESS Natural;Russian Fed.,Ukraine,Kazakhstan,Russia exports (Georgia, Armenia, Belarus, Uzbekistan),Russia others,Portugal;23,5;385;6,1;68,6;20,8;20,8;7,3;3,3;0;0;4,6;335;36,2;0;0;0;1,4;15,7;1,34;193;6,23;0;0;0;0;749;12;0;0;0;0;EUR;171,7083387
CP_7;BAR;FITNESS Strawberry;Indonesia,Russian Fed.,Turkey,Romania,Saudi Arabia,Philippines,Nestlé Pro Italy,Portugal,Kazakhstan,Poland,Ukraine,Utd.Arab Emir.,Hungary,South Africa,Hong Kong,Kuwait,Russia others,Russia exports (Georgia, Armenia, Belarus, Uzbekistan),Baltics & Balkans & Exports,Vietnam,Lebanon,Malaysia,Slovakia,Qatar,Jordan,Thailand,Singapore,Oman,Bulgaria,Bahrain,Russia Professionals,Czech Republic,Greece;23,5;384;5,9;68,3;22,5;22,5;7,3;3,3;0,06;0;4,8;325;33,8;0;0;0;1,19;12;1,05;152;4,66;0;0;0;0;804;10,8;0;0;0;0;AMA,EUR;838,5471006
CP_8;BAR;FITNESS Chocolate;Indonesia,Russian Fed.,Italy & Malta,Greece,Portugal,Spain,France,Ukraine,Israel,Saudi Arabia,Finland,Philippines,Belgium,Kazakhstan,Utd.Arab Emir.,Baltics & Balkans & Exports,Hong Kong,South Africa,Kuwait,Russia others,Bulgaria,Poland,Russia exports (Georgia, Armenia, Belarus, Uzbekistan),Mexico,Lebanon,Chile,Vietnam,Colombia,Thailand,Malaysia,Cyprus,Qatar,Jordan,Oman,Singapore,Bahrain,Russia Professionals,Nestlé Pro Italy;23,5;383;6,2;67,6;27,3;27,3;7,4;3,9;0,1;0;6,5;287;47,4;0;0;0;1,24;15,3;1,14;161;4,95;0;0;0;0;794;12,9;0;0;0;0;LATAM,AMA,EUR;1714,28763
CP_9;RTE;CHOCAPIC;Spain,Portugal;30;386;8,1;74,6;28,8;28,8;4,5;1,3;0,02;0;7,4;130;31,9;3;0;0,93;1,27;13,8;1,26;176;5,23;0;0;0;0;479;11,7;0;0;0;0;EUR;5192,369325
CP_10;RTE;ESTREL(L)ITAS;Portugal,Spain;30;399;7,4;78,1;24,7;24,7;5,4;0,6;0,02;0;4,4;140;41,7;3;0;0,97;1,24;14;1,24;180;5,15;0;0;0;0;457;8,34;0;0;0;0;EUR;1444,758765
CP_11;RTE;CHEERIOS Honey;United Kingdom,Ireland;30;378;8,7;73,5;22,4;22,4;3,6;0,7;0,01;0;8,4;326;77,2;2,54;54,7;0;0,89;11,1;0,92;180;3,26;0;0;0;0;502;9,96;0;0;0;0;UKA;2846,199047
CP_12;RTE;CHEERIOS Multigrain;United Kingdom,Ireland,Israel,Germany,Portugal,Saudi Arabia,Utd.Arab Emir.,Switzerland,Austria,Lebanon,Denmark,Denmark,Finland,Greece;30;380;9,4;71,6;18;18;4,2;0,9;0,01;0;8,9;336;81,3;2,5;40;0;0,94;11,7;0,96;190;3,44;0;0;0;0;525;12,5;0;0;0;0;UKA,AMA,EUR;10177,51804
CP_13;RTE;CHEERIOS Multigrain;Sweden,Denmark,Norway,Finland,Finland;30;383;9;74,4;20,9;20,9;3,7;0,9;0;0;7,9;374;79,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EUR;1490,031317
CP_14;RTE;CHEERIOS Oat;Norway,Sweden,Denmark,Finland;30;394;10,6;69,6;9,3;9,3;6,4;1,3;0;0;8;350;92,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EUR;628,8830865
CP_15;RTE;SHREDDED WHEAT Bitesize;United Kingdom,United Kingdom,United Kingdom,Ireland,Cyprus;40;367;11,8;68,7;0,7;0,7;2,2;0,5;0;0;12,5;21;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;UKA,EUR;3803,788717
CP_16;RTE;SHREDDIES;Malta,United Kingdom,Ireland,Austria,Germany;40;364;10,5;70,6;14,9;14,9;1,7;0,3;0;0;12,1;283;94,4;0;0;0;0,75;10,7;0,97;118;3,76;0;0;0;0;0;7,48;0;0;0;0;UKA,EUR;9523,550058
CP_17;RTE;SHREDDIES Coco;United Kingdom,Ireland;40;369;9;73,6;28,4;28,4;1,9;0,6;0;0;10,5;228;75,8;0;0;0;0,63;8,82;0,78;112;3,05;0;0;0;0;0;6,9;0;0;0;0;UKA;2182,01304
CP_18;RTE;SHREDDIES Frosted;Malta,United Kingdom,Ireland;40;368;9;74,5;27;27;1,5;0,2;0;0;10,3;241;80,5;0;0;0;0,7;9,08;0,83;119;3,2;0;0;0;0;0;6,42;0;0;0;0;EUR,UKA;2596,93412
CP_19;RTE;CHEERIOS Honey;Poland,Romania,Hungary,Turkey,Baltics & Balkans & Exports,Czech Republic,Slovakia,Bulgaria;30;376;8,4;75;24,9;24,9;2,9;0,6;0;0;7,9;308;74,3;2,62;49,6;0;1,11;14,5;1,16;183;4,44;0;0;0;0;506;12,3;0;0;0;0;AMA,EUR;2313,570627
CP_20;RTE;COOKIE CRISP;Poland,Germany,Romania,Baltics & Balkans & Exports,Hungary,Austria,Slovakia,Czech Republic,Bulgaria,Switzerland;30;383;7,2;78,3;24,9;24,9;3,4;1,2;0,02;0;5,3;309;34,2;3;0;0;1,22;13,8;1,24;200;5,16;0;0;0;0;625;8,27;0;0;0;0;EUR;3459,224588
CP_21;RTE;CHOCAPIC;Poland,Romania,Hungary,Czech Republic,Slovakia,Baltics & Balkans & Exports,Bulgaria,Israel,Nestlé Pro Italy;30;388;8,1;75,1;28,9;28,9;4,5;1,8;0,02;0;6,8;101;31,7;3;0;0,88;1,2;13,3;1,18;163;4,94;0;0;0;0;488;11;0;0;0;0;EUR;3133,137809
CP_22;RTE;CINI MINIS;United Kingdom,Germany,Poland,Russian Fed.,Romania,Israel,Czech Republic,Baltics & Balkans & Exports,Hungary,Austria,France,Slovakia,Ukraine,Switzerland,Portugal,Russia exports (Georgia, Armenia, Belarus, Uzbekistan),Finland,Kazakhstan,Ireland,Bulgaria;30;411;5,4;74,6;24,8;24,8;10,1;1,1;0,09;0;4,4;388;32,5;3;0;0,97;1,28;14,2;1,28;172;5,14;0;0;0;0;564;7,43;0;0;0;0;UKA,EUR;12856,09694
CP_23;RTE;FRUTINA;Poland;30;343;8,2;67,6;32,9;32,9;1,9;0,5;0;0;11,5;421;53,7;0;0;0;1,4;15;1,47;168;5,04;0;0;0;0;454;11,2;0;0;0;0;EUR;172,6535175
CP_24;RTE;MILO DUO;Australia,New Zealand;30;382;8,1;73,5;27,7;27,7;4,5;1,1;0,06;0;7,4;98;49,8;8,3;33;1,83;1,42;8,3;1,33;200;0;0;0;0;3,3;667;10;6;0;0;0;UKA;639,7896809
CP_25;RTE;KANGUS;Poland;30;371;9,1;73,8;27,6;27,6;1,9;0,7;0,01;0;11,1;4;0;0;0;0;0,88;10,6;0,99;130;3,45;0;0;0;0;478;0;0;0;0;0;EUR;230,413015
CP_26;RTE;NESQUIK;Poland,Germany,Romania,Ukraine,Czech Republic,Hungary,Baltics & Balkans & Exports,Slovakia,Israel,Austria,Switzerland,Nestlé Pro Italy;30;369;8,4;75,8;24,9;24,9;1,7;0,6;0;0;8,7;177;51,4;2,5;0;1;1,3;14,9;1,35;185;5,5;0;0;0;0;474;10,4;0;0;0;0;EUR;5760,368112
CP_27;RTE;Corn Flakes;Palestine,Saudi Arabia,Nestrade,Palestinian Aut;30;381;8,2;79,7;9,5;9,5;2,4;0,5;0;0;4,3;426;30;0;0;0;1,32;14,7;1,35;210;4,7;0;0;0;0;528;14;0;0;0;0;EUR,AMA;3983,670718
CP_28;RTE;CHOCAPIC;Tunisia,Palestine,Libya,France,Utd.Arab Emir.,Saudi Arabia,Italy & Malta,Kuwait,Greece,Iran,Oman,Belgium,Qatar,Egypt,Lebanon,Nestrade,Jordan,Bahrain,Algeria,French Polynesia,Morocco,Spain,New Caledonia,Palestinian Aut,Iraq,Cyprus,Cyprus;30;386;8,1;74,6;28,8;28,8;4,5;1,3;0,02;0;7,4;130;31,9;3;0;0,93;1,27;13,8;1,26;176;5,23;0;0;0;0;479;11,7;0;0;0;0;AMA,EUR;6516,650365
CP_29;RTE;COOKIE CRISP;United Kingdom,France,Ireland,Greece,Italy & Malta,Portugal,Belgium,Saudi Arabia,Utd.Arab Emir.,Kuwait,Cyprus,Lebanon,Qatar,Jordan,Bahrain,French Polynesia;30;381;6,7;78,1;24,9;24,9;3,3;0,7;0,02;0;6;314;35;2,65;0;0;1,08;12,2;1,1;151;4,53;0;0;0;0;732;7,59;0;0;0;0;UKA,EUR,AMA;5728,285276
CP_30;RTE;CRUNCH;Netherlands,Tunisia,Libya,France,Israel,Portugal,Greece,Spain,Belgium,Nestrade,Morocco,Algeria,French Polynesia,New Caledonia,Cyprus;30;403;7,4;72,7;24,9;24,9;7,6;2;0,04;0;7,2;17;31,5;2,73;0;0,9;1,21;12,9;1,17;156;4,68;0;0;0;0;578;8,88;0;0;0;0;AMA,EUR;3574,64272
CP_31;RTE;GOLDEN GRAHAMS;France,United Kingdom,Portugal,Spain,Belgium,Germany,Israel,Baltics & Balkans & Exports,France,Hungary,Czech Republic,Austria,Switzerland;30;385;7;79,7;24,8;24,8;3,2;0,4;0,02;0;4,7;390;36,3;0;0;0;1,09;12,5;1,04;125;4,48;0;0;0;0;540;9;0;0;0;0;UKA,EUR;2287,680787
CP_32;RTE;GOLD;Russian Fed.,Kazakhstan,Russia exports (Georgia, Armenia, Belarus, Uzbekistan),Azerbaidjan;30;372;7,5;83,3;6,9;6,9;1;0,2;0;0;2;756;0;0;0;0;1,52;15,5;1,61;200;5,81;0;0;0;0;658;9,6;0;0;0;0;EUR;163,0243098
CP_33;RTE;KHRUTKA Corn Flakes;Russian Fed.,Kazakhstan,Russia exports (Georgia, Armenia, Belarus, Uzbekistan),Azerbaidjan,Russia Professionals;30;376;6,5;85,2;19,4;19,4;1,1;0,2;0;0;1,8;650;0;0;0;0;0;0;0;0;0;0;0;0;0;566;0;0;0;0;0;EUR;3556,897218
CP_34;RTE;KHRUTKA Pillows Chocolate;Russian Fed.,Kazakhstan,Azerbaidjan,Russia exports (Georgia, Armenia, Belarus, Uzbekistan);30;442;5,2;69,3;33,3;33,3;16;1,7;0;0;3,6;153;21,3;0;0;0;0;0;0;0;0;0;0;0;0;604;0;0;0;0;0;EUR;139,6495
CP_35;RTE;KHRUTKA Pillows Milk;Russian Fed.,Kazakhstan,Russia exports (Georgia, Armenia, Belarus, Uzbekistan);30;443;5,5;70,2;34,5;34,5;15,5;1,4;0;0;2,9;161;21,3;0;0;0;0;0;0;0;0;0;0;0;0;628;0;0;0;0;0;EUR;146,081396
CP_36;RTE;KOSMOSTARS;Russian Fed.,Kazakhstan,Russia exports (Georgia, Armenia, Belarus, Uzbekistan),Azerbaidjan;30;376;7,5;75,6;24,8;24,8;4,8;0,8;0,02;0;6,7;175;80,6;3;0;1,03;1,29;1,29;1,21;170;5,11;0;0;0;0;687;8,29;0;0;0;0;EUR;2570,259814
CP_37;RTE;NESQUIK;Russian Fed.,Kazakhstan,Russia exports (Georgia, Armenia, Belarus, Uzbekistan),Azerbaidjan,Russia Professionals;30;358;8,6;72,9;27,5;27,5;3,6;1;0,01;0;9;227;73,1;3,44;0;1,09;1,38;15,4;1,39;191;5,69;0;0;0;0;616;10,5;0;0;0;0;EUR;10886,993
CP_38;RTE;SNOW FLAKES;Russian Fed.,Kazakhstan,Russia exports (Georgia, Armenia, Belarus, Uzbekistan);30;377;5,4;87,1;32,4;32,4;0,7;0,1;0;0;1,5;542;0;0;0;0;1,5;15,2;1,58;200;5,7;0;0;0;0;563;9;0;0;0;0;EUR;143,8555488
CP_39;RTE;CHOKELLA;France,Germany,Greece,Austria,Cyprus,French Polynesia;30;411;6,5;72,2;28,8;28,8;9,3;0,9;0,1;0;6,2;312;31,8;3;0;1;1,3;14,4;1,3;181;5,4;0;0;0;0;493;8,3;0;0;0;0;EUR,AMA;1398,203582
CP_40;RTE;CLUSTERS Almond;Germany,Portugal,Greece,France,Austria,Belgium,Cyprus;30;393;10,3;67,1;19,9;19,9;7,3;1,4;0;0;9;411;63,3;0;0;0;1,19;13,9;1,08;174;4,08;0;0;0;0;524;11,7;0;0;0;0;EUR;1169,208645
CP_41;RTE;CLUSTERS Chocolate;Germany,Greece,Portugal,France,Austria;30;388;8,5;71,2;28,4;28,4;5,7;2,6;0,03;0;8,7;373;59,2;0;0;0;1,08;12,8;1,01;161;3,91;0;0;0;0;496;11,8;0;0;0;0;EUR;741,9681569
CP_42;RTE;FITNESS;Netherlands,Tunisia,Palestine,Libya,Italy & Malta,Portugal,Greece,France,Spain,Saudi Arabia,Baltics & Balkans & Exports,Germany,Utd.Arab Emir.,Kuwait,Belgium,Lebanon,Israel,Iran,Hungary,Austria,Cyprus,Czech Republic,Qatar,Nestrade,Switzerland,Egypt,Bahrain,Jordan,Oman,Morocco,Iraq,Iceland,Mauritius,Nestlé Pro Italy,Bulgaria,Palestinian Aut,French Polynesia,New Caledonia,Angola;30;368;9,4;74,9;10,8;10,8;1,8;0,6;0;0;7,4;379;57,9;0;0;0;1,25;12,8;1,14;153;5,18;0;0;0;0;673;12,8;0;0;0;0;EUR,AMA;8482,408659
CP_43;RTE;FITNESS;Norway,Finland,Sweden,Denmark;30;369;9,5;73,2;8,8;8,8;1,8;0,6;0;0;10,7;287;59,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EUR;413,3650948
CP_44;RTE;FITNESS Chocolat Noir;France,Greece,Spain,Italy & Malta,Israel,Belgium,Portugal,Baltics & Balkans & Exports,Cyprus;30;400;8,9;68,7;16,7;16,7;8,2;4,5;0,1;0;7,9;302;45,9;0;0;0;1,04;10,3;0,97;127;4,15;0;0;0;0;544;12,3;0;0;0;0;EUR;2830,225244
CP_45;RTE;FITNESS Chocolate;Netherlands,Tunisia,France,Spain,Italy & Malta,Greece,Israel,Portugal,Germany,Saudi Arabia,Belgium,Lebanon,Hungary,Turkey,Czech Republic,Baltics & Balkans & Exports,Nestrade,Utd.Arab Emir.,Bulgaria,Kuwait,Algeria,Morocco,Cyprus,Jordan,Qatar,Austria,Bahrain,Switzerland,New Caledonia;30;399;8,5;70,7;20;20;7,5;4,3;0,04;0;7;318;45,9;0;0;0;1,04;10,2;0,91;121;4,24;0;0;0;0;566;11;0;0;0;0;EUR,AMA;4740,786085
CP_46;RTE;FITNESS Honey Almonds;Israel,France,Greece,Saudi Arabia,Utd.Arab Emir.,Iran,Lebanon,Kuwait,Baltics & Balkans & Exports,Qatar,Bulgaria,Portugal,Jordan,Belgium,Cyprus,Bahrain,Oman,French Polynesia,New Caledonia;30;385;9;73,3;19,9;19,9;4,7;0,8;0,06;0;6,9;316;48,1;0;0;0;1,07;10,9;0,96;129;4,33;0;0;0;0;579;11;0;0;0;0;EUR,AMA;1105,885642
CP_47;RTE;FITNESS & Yoghurt;Finland,Germany,Israel,Hungary,Switzerland,Czech Republic,Austria,Baltics & Balkans & Exports,Malta;40;394;8,6;72,2;18;18;6,3;4,8;0,03;0;6,7;341;49,4;0;0;0;1,11;11,2;1;130;4,44;0;0;0;0;580;11;0;0;0;0;EUR;490,1169404
CP_48;RTE;OAT CRISP Almond;United Kingdom,Ireland,Malta;40;404;10,5;67,3;24,6;24,6;8,8;1,3;0,01;0;7;265;65,7;0;0;0;0,82;8,5;0,61;136;3,17;0;0;0;0;439;9,49;0;0;0;0;UKA,EUR;507,1329756
CP_49;RTE;OAT CRISP Raisin;United Kingdom,Ireland,Malta;40;373;8,4;69,1;29,1;29,1;4,8;0,9;0;0;8,1;262;58,6;0;0;0;0,72;7,77;0,69;125;2,7;0;0;0;0;385;9,2;0;0;0;0;UKA,EUR;176,5138828
CP_50;RTE;FITNESS & Fruit;Palestine,Libya,Greece,Italy & Malta,France,Saudi Arabia,Israel,Baltics & Balkans & Exports,Hungary,Portugal,Utd.Arab Emir.,Lebanon,Germany,Spain,Egypt,Bulgaria,Cyprus,Czech Republic,Finland,Kuwait,Qatar,Jordan,Sweden,Nestrade,Palestinian Aut,Oman,Bahrain,Switzerland,New Caledonia;40;363;7,4;73,8;24,7;24,7;2,7;1,7;0;0;6,9;287;42,5;0;0;0;0,93;9,54;0,87;114;3,84;0;0;0;0;504;9,78;0;0;0;0;EUR,AMA;1595,183758
CP_51;RTE;CHEERIOS Multigrain;Australia,New Zealand;30;381;7;76,2;14,6;14,6;3,8;0,6;0;0;7,3;264;66,7;0;33,3;1,83;1,43;8,3;1,33;200;0;0;0;0;3,3;667;10;6;0;0;0;UKA;777,2743685
CP_52;RTE;MILO;Australia,New Zealand;30;381;9;71,5;26,9;26,9;4,8;1,3;0,07;0;7,9;112;50;8,3;33;1,83;1,42;8,3;1,33;200;0;0;0;0;3,3;530;10;6;0;0;0;UKA;2985,349729
CP_53;RTE;NESQUIK;Australia,New Zealand;30;380;7,8;74,4;29,9;29,9;3,8;0,9;0,01;0;8,2;247;54,6;0;33,3;1,8;1,4;8,5;1,3;200;0;0;0;0;0;520;10;6;0;0;0;UKA;651,2848854
CP_54;RTE;PLUS ANTIOXIDANT lift;China,Australia,New Zealand,Nestrade;40;352;7,3;70,4;21,2;21,2;1,6;0,4;0;0;11,2;205;47,3;0;25;1,38;1,05;6,3;1;250;0;0;0;0;6,3;200;6;4,5;0;0;0;AMA,UKA,EUR;2053,785537
